Review_ID,Game_Name,Ratings,Users,Game_Category,Game_Genre,Date_of_Remarks,Remarks
19,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"January 1, 2022","It is a lot of fun. I've been playing for years, but what is SO annoying is when the ads freeze. You lose your 100 coins and have to exit. It makes me not want to play anymore. It just happened to me twice and I only played about 5 games. REALLY ANNOYING!"
20,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"December 31, 2021","It's a nice challenge. Test what you know. Drop a star because I never get my tournament rewards, drop a star because it's hard to get coins, then you use them to start a game and it freezes on an ad (no x to close or black screen) and you lose them."
21,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"January 3, 2022","Winning an average of 100 coins, which is the cost to play a round of trivia, isn't enough at all when it costs 500 to upgrade your good experts. I lost 3k in coins very fast and days later I am no where near back to where I was. This is a very fun trivia game otherwise."
22,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"January 2, 2022","Good... Please fix the freezing ads. If you want to give the free gems, don't have ads that freeze and cheat you out of your gems. This is three days now. I'm tired of losing gems. I don't mind ads. It's when they freeze up. That's when I mind them."
23,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"December 18, 2021","I realize that the ads pay for the games that we play. But, come on there are games that literaly play an ad every turn. Thats a little extreme in my opinion. Games is fun though and i can admit there are ads that catch my eye to play like this one."
24,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"December 24, 2021",Way to many ads. If it was every so often I would understand but after every round you have a 20+ second ad. It gets annoying real quick and I will not spend money on a game to remove ads.
25,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"December 17, 2021",on ok game for adults but for the younger one it's great. lots of fun on long road trips with the grandson who has 1000 questions every time anyone talks to him. gotta feed that hungry mind so it will grow up big and strong.
26,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"December 28, 2021","This game is awesome and I really enjoy playing this...I would like to get more bonuses without all the ads. This game really challenges my mind and it helps to keep my mind sharp, good categories and I love the questions of the day. Thank you."
27,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"January 4, 2022","The questions aren't all that difficult, particularly if you stick to a category you know well. I keep getting reminded to join to join a club, but I really don't want to. That being said, I am enjoying this game quite a lot!"
28,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"December 22, 2021","Info is old. A football question asked what team Tom Brady was on and the Tampa Bay Buccaneers wasn't an option. Got old and boring fast, you had to use coins to move up to the next level after just earning them by winning the previous one. Dumb."
29,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"January 3, 2022",It's great I like the questions that they ask and how it relates to the subject at hand. I however don't like the fact that it's always trying to sell you coins and stones. Wish it didn't have as many advertisements on the free games
30,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"January 2, 2022",I like the game..I just watched 3 ads in a row to get the 15 gems and it didnt give them to me. ???...little frustrating...cuz its not doing what it says its going to do..SMH
31,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"December 17, 2021","Kinda fun, long commercials the little x didn't show up a few times. Had to restart the app to get rid of the commercial and continue playing. I personally will not play games that have commercials more than 15- 30 seconds."
32,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"December 23, 2021","It is stupid easy, and it basically gives you the answers anyway. It is a boring time consuming waste of space. Nobody should ever get this. You need to play for an incredible amount of time just to get new questions."
33,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"December 25, 2021","I like this game because I like testing my abilities, my mind. I also like most of the categories, which is where your questions come from. This is an excellent to challenge yourself."
34,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"November 26, 2021","Ads are overwhelming and $12 monthly subscription is insane. Your welcome for sharing my feedback. I am aware that ads are what make possible to keep this game available for everyone. There is nothing the Support Team can do to help, so I will not be messaging them within the app."
35,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"December 8, 2021",I truly enjoy this challenging and fun game!! Really tests our knowledge from within different categories!!! The challenges are truly a test of what we know. Things not known can be learned from this game!! Great learning and fun experience!!!
36,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"October 31, 2021",I understand and I'm ok with in game ads. What I am not ok with is that at the end of the ad it goes blank and have to close the app and restart. I also lose the coins I used to play game. Also if I need an extra life there are no ads available. Will delete if not addressed.
37,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"December 29, 2021","great game. see how much you remember about your favorite movies, food, and pop culture! easy and additive!! highly recommend this one!! 🤘"
38,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"November 27, 2021","As a Senior, I really love this game, I'm surprised by how much information I remember from my younger days. I enjoyed learning new materials that I never knew about before. Playing this game helps exercise and improved my short-term memory, which helps keep my brain from aging in a negative way."
39,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"January 4, 2022","Very good trivia game , some of the lower level questions can be too easy , but its still a entertaining game & the leagues & different events provide goals & rewards to achieve."
40,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"November 26, 2021","Fun game, like all the different categories. Several fundamental mistakes in the answers, e.g. ""Ms. Doubtfire?"" It's Mrs. Doubtfire. Advancing levels don't feel challenging What is the grade level for this game? Sometimes I feel like I'm playing a game for a 10 year old?"
41,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"December 18, 2021",I love the questions..but forcefully watching the stupid videos to go to next level is craziness!!! Sitting through all the ads too? Spend more time doing all that..and NOT the damn questions.
42,Wordscapes Search,4.8,"139,596",Top Free,Word,"January 6, 2022","The ads are atrocious. They play after every level, sometimes more! Like, mid level more. The ads that play are almost as long as the levels themselves. It would be a fun game if it was more game than advertising"
43,Wordscapes Search,4.8,"139,596",Top Free,Word,"January 4, 2022",This is the only reliable game. Ads are not intrusive. Always a challenge. They include holiday games and different levels as well as a variety of subjects. I've tried many games but always end up going back to this one! Thanks to the developers!!
44,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 31, 2021",It is pretty fun and challenging especially for the other hidden words that you try to find besides the ones they choose are very easy. This game is more about your focus but also refreshing for you're vocabulary and mind to stay addicted. I like it and it is simple.
45,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 30, 2021","There are barely any ads, which I find very important in a game. The word searches are very peaceful and not too easy and they get harder I don't get stuck on them often. I highly recommend very relaxing."
46,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 28, 2021",This game i give it a 5 star rating because it is so soothing and fun to play. You could play this game when you are extremely bored and when your done playing it you'll be like im not bored anymore! This game is also good for roadtrips to!
47,Wordscapes Search,4.8,"139,596",Top Free,Word,"January 3, 2022","I like this allot however I am on a puzzle and there are a few words not counted and it's bugging me. Puzzle 535 Meals Spy Just began this level and kinda mad you guys missed the words. Also the only 2 letter words you guys count in we, not Xi Qi"
48,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 14, 2021","Too many ads. I understand that there needs to be ads on games sometimes, but after the ad plays I have to completely close out the game and reopen it before I continue playing."
49,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 28, 2021",Love search word puzzles and this one has sounds that are satisfying when you find a word with pretty colors and calming zen music and backgrounds. Perfect to relax and calm stressed nerves.
50,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 27, 2021",This game makes me think and challenges me!! I am 75 years old and playing this puzzle challenges my brain and cognitive abilities. I want my brain to be as active as possible for as long as I can!!!!!
51,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 28, 2021",It's a fun game but ever since the last update whenever I play the game slows down then freezes up on me. I'll be able to find one word normally then the next one as I highlight it gets slow then freezes up and crashes on me
52,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 22, 2021",Good game a little challenging but I'm only at level 16 so it may get more difficult at higher levels a minimum of ads and they don't interrupt play and are short and no distracting mini games just a daily challange great job keep it up guys
53,Wordscapes Search,4.8,"139,596",Top Free,Word,"January 5, 2022",There are too many ads that are impossible to get out of and back to the game. I like the game but get stuck in an ad that will not take me back to the game. Will be uninstalling this game.
54,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 12, 2021",I never pay to remove ads from apps but I did for this one. The ads were a tad excessive and I wanted the gameplay without any interruptions. This is a very calming game that is perfect for killing some time.
55,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 13, 2021",I love it 💖 and you really get into the game then next thing you know so much time has passed. But that's because you'll be having a great time playing this game. If you like word games you'll love this app..
56,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 13, 2021","Wordscapes Search is a thinking and focus game and keeps me busy. Building points is good encase you get stuck and need some help. For instance, using the lightbulb to guide you with the first letter which helps a lot. Fun to play!"
57,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 26, 2021",Beautiful game. Music & graphics restful & gorgeous. Challenge of the puzzles makes it a relaxing but not stressful game. Recommend!
58,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 29, 2021",It's a great game for kids and people wanting to improve there knowledge on English words. So it's easy and fun if you want something to do.
59,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 19, 2021","I used to love this game but lately, the game constantly crashes. I'll open it to do the daily game and it will just automatically close, and I have to restart it repeatedly. I have already checked my updates and everything is up-to-date. Please fix the game!!"
60,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 16, 2021","You are not only searching for the words that are suggested, but also other words you find within the puzzle! It is more interesting!"
61,Wordscapes Search,4.8,"139,596",Top Free,Word,"January 5, 2022","This game is easy at first as any game is. It does get more challenging. I'm only on level 49, but it is fun so far."
62,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 29, 2021","Good game. I don't care about ads but I recommend everyone to get this app because it helps your brain by playing everyday for 10 minutes or more and it is really entertaining and encouraging and it belies sportsmanship with these app. So, thank you again."
63,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 12, 2021","I love all the challenges and categories included in this game. It's very interesting and challenging, I enjoy playing it when I need a good brain test."
64,Wordscapes Search,4.8,"139,596",Top Free,Word,"January 2, 2022","Too many ads... There's ads after almost every round. I understand, free game, but... That's a bit ridiculous."
65,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 11, 2021","The only reason I did not give it a five is because I have to tap on it twice in order to play the game. Don't know why it happens but it does so consistently. Otherwise it's a very fun game. I have always liked word search games, even on paper."
66,Wordscapes Search,4.8,"139,596",Top Free,Word,"December 28, 2021","I have had this game for about two years, and really enjoyed it, but I have been running into ads that kick me out of the game, regular or the special ones, and now can't play at all! I am very disappointed, but I will be uninstalling this game."
67,Wordscapes Search,4.8,"139,596",Top Free,Word,"January 3, 2022",This game is so relaxing. I love the backgrounds and the music and how quickly it responds to haptic feedback.
68,Wordscapes Search,4.8,"139,596",Top Free,Word,"January 1, 2022","Why does this game not work sometimes? I was in the middle of a word search puzzle when all of a sudden my phone went completely black & all of the words that I found erased. I like this game, please fix this, thank you very much."
69,Solitaire,4.8,"154,587",Top Free,Card,"December 28, 2021","I love the sound of the cards. I like that the ads are quick. I am enjoying playing this game. Others have too many long adds, point systems that don't make sense and interruption after l interruption. LOVE THIS VERSION!"
70,Solitaire,4.8,"154,587",Top Free,Card,"January 1, 2022","A big thing for me is that in this game you don't need coins to start over, start a new game or even get hints and best of all there aren't many ads. I would definitely tell my friends about this game (if they ask of course)."
71,Solitaire,4.8,"154,587",Top Free,Card,"January 3, 2022",1. The full screen ads are difficult to escape from when you are allowed to. 2. The spam notifications to play today can only be disabled by removing the Android permission for notifications.
72,Solitaire,4.8,"154,587",Top Free,Card,"December 30, 2021","In two days, this game will be the first game where I've completed every daily challenge over the year. So yeah, I like it. It's simple, doesn't crash and doesn't try to do anything crazy. So I think it's perfect"
73,Solitaire,4.8,"154,587",Top Free,Card,"December 25, 2021","It's solitaire,Nothing special. I would pay money not to see ads but there's no option to do so. Would give five stars if I could pay to be rid of the ad pop ups"
74,Solitaire,4.8,"154,587",Top Free,Card,"December 24, 2021",Very annoying ads- you're forced to watch for about 30 seconds then it takes you another one which you can X out but then it takes you to another ad which you have to watch for about 5 seconds- PATHETIC!!! 3 stars is all.
75,Solitaire,4.8,"154,587",Top Free,Card,"December 29, 2021",Nice solitaire game. No interuptions during play. Ads come between hands. I like the Left hand option. So far no problems. Nice choices on cards & backgrounds etc.
76,Solitaire,4.8,"154,587",Top Free,Card,"December 30, 2021","its very much like the one i would play on the computer as a small one. the completion animation is what makes it nostalgic, where the cards make like a jump off the page"
77,Solitaire,4.8,"154,587",Top Free,Card,"December 28, 2021",It's an easy card game app if You know how to play this game without reading any instructions trying to explain it to people who don't play cards or this game it's up to them to read the instructions.
78,Solitaire,4.8,"154,587",Top Free,Card,"January 2, 2022",I like all the customization options that come free with the game. You can change the card back design AND the backdrop without any microtransactions.
79,Solitaire,4.8,"154,587",Top Free,Card,"December 31, 2021",Every time a add finishes the screen goes black and I have to exit out of the game inorder to start a new one. It's getting annoying. Would be 5 🌟 if this didn't happen.
80,Solitaire,4.8,"154,587",Top Free,Card,"January 1, 2022",Relaxing and frustrating at the same time!! I win a lot of the games but sometimes they give me a streak off losing as well. I Love Solitaire!!
81,Solitaire,4.8,"154,587",Top Free,Card,"January 2, 2022",Great entertainment the only problem is every time I download it after I play two games they want me to download a new one I think that's crazy outside of that it's fantastic
82,Solitaire,4.8,"154,587",Top Free,Card,"December 27, 2021","Exclnt Solitaire game. As with all tho', it quickly tries to get you into a different game THAT can be very frustrating."
83,Solitaire,4.8,"154,587",Top Free,Card,"December 29, 2021",Fun but the commercials between rounds keep glitching out forcing you to have to shut it down and bring it back up. Annoying af.
84,Solitaire,4.8,"154,587",Top Free,Card,"January 6, 2022",Always fun to play not a lot of pop ups or advertising. Definitely recommend if you love solitaire
85,Solitaire,4.8,"154,587",Top Free,Card,"December 28, 2021",The app needs to be more fun like many it should have some mini puzzles and challenges that you can choose to play if they beat like ten levels
86,Solitaire,4.8,"154,587",Top Free,Card,"January 6, 2022","Enjoyable, increases concentration, refreshing and an excellent method to pass time."
87,Solitaire,4.8,"154,587",Top Free,Card,"December 21, 2021",I love solitaire. This version is brightly colored and has easy to follow instructions.
88,Solitaire,4.8,"154,587",Top Free,Card,"December 30, 2021",Has ads that if you accidentally click outside the tiny X it automatically installs the app from the ad without needing any other confirmation.
89,Solitaire,4.8,"154,587",Top Free,Card,"January 4, 2022","I enjoy it for what it is, been playing for over 2 decades now. This is way better than the old Solitare"
90,Solitaire,4.8,"154,587",Top Free,Card,"December 23, 2021","This is the only Solitare I play. The cards are big enough and easy to read, there is auto card tap for moves, and I have never had an issue with the app working. I have the free game with ads...they are usually short, though I can escape them quickly by getting out of then back into the game."
91,Solitaire,4.8,"154,587",Top Free,Card,"January 6, 2022","Fun, the games strategy continues to grow harden, but slowly enough I learn the skills needed."
92,Solitaire,4.8,"154,587",Top Free,Card,"December 21, 2021",I enjoy the game although it does seem repetitive at times. I like the challenge of the journey but its frustrating when you get so far and the games start cutting off before times up or saying you haven't completed a level even though you're still playing. This needs fixed.
93,Solitaire,4.8,"154,587",Top Free,Card,"December 19, 2021",The ads have become a nuisance now. The skip option doesn't exist in most ads. The ad sounds cut off any other sound apps you may play at the same time. They slow down the game which now shuts down in the middle of a round. I have to close the app store and the game just to get started again.
94,Solitaire,4.8,"154,587",Top Free,Card,"January 1, 2022","Game plays well, worst ad attack of any solitare I have encountered. I played about 15 minutes then deleted it."
95,Solitaire,4.8,"154,587",Top Free,Card,"December 9, 2021","Used to be an okay app, despite the ads. I played daily. I don't know what they did to it, cause now it just shuts down in the middle of a game, deleting all progress. It happened enough times that I just deleted the whole app. Wasn't worth it."
96,Solitaire,4.8,"154,587",Top Free,Card,"December 9, 2021","Second review of the day. Was getting black screens after winning games when ads were supposed to play, having to exit and restart. Deleted cache, data, stopped app in background, removed app, then reinstalled. Now working fine. Historical issues with upgrades/updates over the years."
97,Word Connect,4.7,"1,062,699",Top Free,Word,"December 14, 2021","I would give it 5 stars and I would LOVE this game, but there is WAY too many ads. There is an ad after every level which is about every couple minutes or so.. I understand that free games are going to have ads, but does there seriously need to be that many ads? It drives me crazy!"
98,Word Connect,4.7,"1,062,699",Top Free,Word,"December 28, 2021","Makes me focus, think and use my brain!!! I've been playing it for over a year and it never gets old!!! There was a new update, I'm realy looking forward to see the new levels!!! This game is SOOOO addicting!! I play it as often as I can!!!! Still playing everyday!!!"
99,Word Connect,4.7,"1,062,699",Top Free,Word,"January 2, 2022","Too many ads, could go a few puzzles before an ad. Also, didn't look like the ad that was supplied when I downloaded. The ad was a clue given and you had to choose the correct word."
100,Word Connect,4.7,"1,062,699",Top Free,Word,"December 15, 2021","this game is challenging and addicting. I play daily. New updates make it more fun! So do new rewards. I also enjoy the pictures that players can create. Still Loving it, wakes my brain in the morning! Engages me.. Thank you for the fun! Still playing. Great exercise."
101,Word Connect,4.7,"1,062,699",Top Free,Word,"January 3, 2022","These games are never what is advertised. I see a game I'd like to play, download it, and it is always some variation of the same game - a sort of letter scramble. Too bad we can't get the game as advertised."
102,Word Connect,4.7,"1,062,699",Top Free,Word,"December 17, 2021","False advertisement, the video I seen was you have to fill in the blank. If you like companies that lie to you then this is for you. And there's ads all over the place every time you finish a stage you get an ad. Stay away from this line false advertising game"
103,Word Connect,4.7,"1,062,699",Top Free,Word,"December 24, 2021","Only at level 30, just started playing today and so far I'm enjoying the hell out of it. If anything changes, I'll come back and edit. For now... a 5 star experience. UPDATE.. 2 years later and I still enjoy. It it a fun time waster that exercises the old brain"
104,Word Connect,4.7,"1,062,699",Top Free,Word,"December 22, 2021",The game itself is not bad. But the mind blowing amount of ads is simply ridiculous! There is literally four to six ads every turn long ads that you have to watch completely. But you get no prize. You guys are being greedy.
105,Word Connect,4.7,"1,062,699",Top Free,Word,"December 20, 2021","Have really enjoyed playing this game for several years now, some are challenging and just a delight to play. Still enjoying the challenge and the tournaments....really enjoy the daily tournaments...a good way to start your day, gets the mind cranked up....helps with my memory as well....."
106,Word Connect,4.7,"1,062,699",Top Free,Word,"December 16, 2021",I'm having a lot of fun and and it moves fast. The ads aren't that intrusive but I wish that it would move would move to more difficult levels. I down loaded it because it looked different than this. I'll keep playing and hope that it will get more difficult.
107,Word Connect,4.7,"1,062,699",Top Free,Word,"December 11, 2021",This game keeps my mind sharp!Still loving the game. The ads that force me to watch them 3+ times before returning me to the game not so much! Those ads make me stop the game!The tricky ads have slowed way down. THANKS!
108,Word Connect,4.7,"1,062,699",Top Free,Word,"January 5, 2022",I don't understand why in the advertisement I was led to believe the game was something other than what the game is? Why do games keep doing this. It is so extremely betraying to my good senses..
109,Word Connect,4.7,"1,062,699",Top Free,Word,"January 3, 2022",I purchased this game not too long ago and I am having so much fun playing and putting words together a superb exercise for my brain or anyone else's for that matter and I like that this game has a dictionary so I can know what words that I might not be familiar with understand.
110,Word Connect,4.7,"1,062,699",Top Free,Word,"December 13, 2021",Best word game I've encountered. I love how they have two different game modes and awesome daily challenges. Not to mention the free themes that are detailed and cool. And you even have teams!
111,Word Connect,4.7,"1,062,699",Top Free,Word,"December 28, 2021",Pretty good game overall but some of the words are misspelled (such as smerked😒) which makes it really frustrating trying to solve some of the levels.
112,Word Connect,4.7,"1,062,699",Top Free,Word,"December 14, 2021","The game makers need to expand the dictionary . The dictionary has not yet been updated even though the game has. The daily game has changed for the worst. More lines, less points. Put it back to 5 and up the points. My opinion of this game has not changed, it still needs a better dictionary."
113,Word Connect,4.7,"1,062,699",Top Free,Word,"December 24, 2021","Keep me focus, and relax other than improving my memory tremendously. I enjoyed every minute of it because it is really exciting and keep me challenged all the time. Thank you."
114,Word Connect,4.7,"1,062,699",Top Free,Word,"December 17, 2021",This game would be a good game to teach children sprlling and language skills. I like the fact that it has a built in dictionary so you can look up a ward to learn its meaning. Not a bad way to play a game and improve spelling and grammer skills.
115,Word Connect,4.7,"1,062,699",Top Free,Word,"December 17, 2021",Good so far .. room for improvement. It could use ways to give us clues. Like maybe side games. I know we can't win money playing never hurts to have incentives .
116,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 6, 2022","Game is great til you have to purchase stuff in order to get any further. Videos been saying ""Will refresh tomorrow"" for the last 8 days. I deleted this game. I think it's BS you need to spend $ in order to get further along in the game. 1 star rating from me."
117,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 5, 2022",This games patterns are true to the orginial except; you cannot get your shipped capture. But it's face pace good nusic. I like playing with headphones and hearing the shots going off makes you feel your actually playing. Love it!!!!!!
118,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 6, 2022","Energy recharges 1 every 2 minutes when I look, but when I leave the game for a few hours and then come back to play, I have less than 20 energy. Multiplayer is dominated by pay to win people as well, how is that fun"
119,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 1, 2022","Fun game so far...was fun for the first few days. Now it always tells me I have no internet connection even when I'm on wifi so I can access multiple features. Sometimes the energy takes minutes to restore 1 energy, sometimes it takes 60 minutes for every one. Very buggy app"
120,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 1, 2022",Lots of bugs in the game and gem discounts are a scam. 50% off but you get less gems from full price. Just a shady business practice. Item upgrades cost went up over night. Is there an inflation in this game too? Be ready to pay to compete.
121,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 1, 2022",Entertaining game. I find it funny that it tells me I have no internet connection unless I'm trying to buy something. Also disappointed that the only way to save my game is through Facebook.
122,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 2, 2022","Even though this is a pay to play game, it is very fun, a good way to pass the time and very competitive. Only downfall is that the developers makes it harder to advance with updates and has a lot of glitches."
123,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 6, 2022","My experience with this game is awesome!I like how the ships,drones, stone,upgrade. This game also allows you to play with players from around the word and chat. Good job guys with this game"
124,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 2, 2022",Game is fun. Just the last update I can't collect free gifts but once daily use to collect twice a day and I'm getting a connection error and I have my phone on wifi. It doesn't work if I switch it to data fix the issues.
125,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 2, 2022",This is very challenging game. Only problem I see is having a pause button issue during game play. If something comes up during play you have sacrifice or lose challenge.
126,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 1, 2022",Too many ads and most the ads are either zombie games or about half dressed women. Please do not respond you have no control of the ads because YOU DO! Edit: In response to ONESOFT - I do not have facebook and my complaint is in the review regarding the ads and type of ads shown.
127,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 4, 2022",Keeps freezing up and want give my bonuses could be alot better if better quality the only reason I don't give it know stars is it doesn't give you that option! (Still freezing up 1/2/22)
128,Galaxiga: Classic Arcade Game,4.7,"166,907",Top Free,Arcade,"January 1, 2022","It's getting worse, since the latest update my game does not refresh anymore!! Stuck on the same day for a week now !! And since the update the setting functions is missing and I lost my entire account 🤦‍♂️"
