"TopPaidGames_name","TopPaidGames_url","TopPaidGames_Description","TopPaidGames_Ratings","TopPaidGames_Users","TopPaidGames_Price","TopPaidGames_Category","TopPaidGames_Category_url"
"True Skate","https://play.google.com/store/apps/details?id=com.trueaxis.trueskate","The official Street League Skateboarding mobile game.
The ultimate skateboarding sim.
Note: True Skate only comes with a single skate park and contains additional content only available by In-App purchase. See below.
Features:
- Realistic touch based physics that give an authentic skateboarding experience.
- Deck wear. Scuff up your Deck.
- Drag your finger on the ground to push.
- A beautiful skate park to get lost in including ledges, stairs, grind rails plus a bowl, half pipe and quarter pipes. (Additional skate parks are available as an In-App Purchase)
- Slow motion.
- Rewind
- User challenges
- Replay viewer
- Global leaderboards.
Available by IN-APP PURCHASE only:
- Additional skateparks and locations.
- Street League Skateboarding courses.
Optional IN-APP PURCHASES: (The same content is also available for free by spending True Credits earned by doing tricks and finishing missions)
- Unlock all missions.
- Unlimited slow motion.
- Unlimited board image changes.
- Unlimited wheel color changes.
- Unlock lists
- Unlock Skateboard packs.
Permissions requirements:
WRITE_EXTERNAL_STORAGE and READ_EXTERNAL_STORAGE: These permissions are needed when installing the app in external storage so that we can save and load progress. Read permissions are also needed for accessing custom deck images external storage.","4.3","201,702","$1.99 Buy","Sports","https://play.google.com/store/apps/category/GAME_SPORTS"
"Monster Hunter Stories","https://play.google.com/store/apps/details?id=jp.co.capcom.mhsspen","Monster Hunter Stories is available at a discounted price until January 5, 2022!
Please read the section ""Important Notes"" before purchasing or using this app. Returns or credit cannot be granted after purchase.
This app has absolutely no in-app purchases!
• Game Features
- Recruit countless Monsties!
Monsties, and the bonds you form with them, are the backbone of your adventure. Explore vast environments and dungeons to find monster dens, and bring back the eggs you find to hatch new Monsties!
- New features for the smartphone version!
New improvements include beautiful high-resolution graphics, improved user interface, and a new auto-save feature!
• Story
The story begins in a forest near the village of Riders. Three young friends—the hero, Lilia, and Cheval—stumble upon a shining egg.
The trio perform a playful imitation of the Rite of Kinship, only to be shocked when it actually succeeds!
The egg hatches, revealing a baby Rathalos, a flying wyvern also known as ""the King of the Skies."" The trio affectionately name him ""Ratha,"" and take him back to the village.
Days later, without warning, the village is beset upon by a monster infected by ""the Black Blight."" They manage to drive it away, but not before it devastates the town—and leaves indelible scars in the hearts of Cheval and Lilia.
A year passes...
The hero receives a Kinship Stone from the Village Chief and officially becomes a Rider. Cheval and Lilia both leave the village, each on their own path. The hero, though separated now from childhood friends, partners up with the cheerful Navirou, and embarks upon a new adventure into the world of hunters.
A story of friendship and triumph await you—ride on into the world of Monster Hunter Stories!
[Important Notes]
• For information about compatible devices and the free space required to download the latest version, please refer to the following link.
http://www.us.capcommobile.com/mhs-device-compatibility
Note: The amount of free space required may change depending on the update.
• Important Notice Regarding the Network Battle Function
Due to a change in Google Play Games, the Network Battle function is no longer available as of March 31, 2020. However, after updating to Ver.1.0.2, you will be able to access all of the Titles obtained from Battle Ranks. Furthermore, as there is a reward in the game that players can get only through Network Battle, we have created a method so that players will still be able to claim it. For more details, please check out Network Battle in the app after updating to Ver.1.0.2.
Note: The Network Battle function becomes available only once players progress past a certain point in the game.
• Additional Notes
- To use this app, you must agree to the ""Monster Hunter Stories End User License Agreement"" (link below) when booting the app for the first time.
http://game.capcom.com/manual/MHST_mobile/global/en/rule.php
- This app features the same story as the handheld console version.
- Several handheld console features, such as certain collaboration contents, amiibo features, local Network Battles, and StreetPass, are NOT available in this version.
- Deleting this app will also erase any stored save data.
- This app can only be downloaded with a Wi-Fi connection.
- Battle Party QR codes from the Japanese version will not work in this version.","4.6","12,182","$4.99 Buy","Role Playing","https://play.google.com/store/apps/category/GAME_ROLE_PLAYING"
"Mini Metro","https://play.google.com/store/apps/details?id=nz.co.codepoint.minimetro","Mini Metro, the sublime subway simulator, now on Android. No ads or in-app purchases.
• 2016 BAFTA nominee
• 2016 IGF award winner
• 2016 IGN Mobile Game of the Year finalist
• 2016 Gamespot's Best Mobile Game selection
Mini Metro is a game about designing a subway map for a growing city. Draw lines between stations and start your trains running. As new stations open, redraw your lines to keep them efficient. Decide where to use your limited resources. How long can you keep the city moving?
• Random city growth means each game is unique.
• Over two dozen of real-world cities to test your planning skills.
• A variety of upgrades so you can tailor your network.
• Normal mode for quick scored games, Endless to relax, or Extreme for the ultimate challenge.
• Build your metro exactly how you want to with the all-new Creative mode.
• Compete against the world every day in the Daily Challenge.
• Colorblind and night modes.
• Responsive soundtrack created by your metro system, engineered by Disasterpeace.
Please note that Mini Metro is incompatible with some Bluetooth headphones. If you do not hear audio, please try disconnecting your headphones and restarting the game.","4.6","56,178","$0.99 Buy","Simulation","https://play.google.com/store/apps/category/GAME_SIMULATION"
"Five Nights at Freddy's: SL","https://play.google.com/store/apps/details?id=com.scottgames.sisterlocation","NOTE: A device with at least 3 GB of RAM is required for this game to run properly.
Welcome to Circus Baby's Pizza World, where family fun and interactivity go beyond anything you've seen at those *other* pizza places! With cutting-edge animatronic entertainers that will knock your kids' socks off, as well as customized pizza catering, no party is complete without Circus Baby and the gang!
Now hiring: Late night technician. Must enjoy cramped spaces and be comfortable around active machinery. Not responsible for death or dismemberment.
NOTE: Game entirely in English.
#MadeWithFusion","4.4","30,607","$2.99 Buy","Action","https://play.google.com/store/apps/category/GAME_ACTION"
"Exploding Kittens® - Official","https://play.google.com/store/apps/details?id=com.explodingkittens.projectbombsquad","Play the most-funded game in Kickstarter history anywhere with the Exploding Kittens® Official mobile game!
🐈💣
The mobile version of the game is available now, including the Party Pack, Betrayal, Streaking Kittens, and the all new Barking Kittens expansion! Play with friends or strangers in online play, challenge the AI, or play offline with friends face-to-face!
In this highly-strategic, kitty-powered version of Russian Roulette, players draw cards until someone draws an Exploding Kitten, at which point they explode, they are dead, and they are out of t​he game -- unless that player has a Defuse card, which can defuse the Kitten using things like laser pointers, belly rubs, and catnip sandwiches. All of the other cards in the deck are used to move, mitigate, or avoid the Exploding Kittens.
KEY FEATURES:
- Exploding Kittens is a multiplayer card game for people who are into kittens and explosions and laser beams and sometimes goats.
- Play with 2 to 5 players across multiple phones in the same room, or online with friends or strangers
- Featuring original art by The Oatmeal
- New cards exclusive to the digital version of Exploding Kittens
- Digital versions of the hit expansions, including Streaking and Barking Kittens, as well as digital exclusive Betrayal and Party decks
- The digital version of the most backed game in Kickstarter history
Creat​ed by Elan Lee (Xbox, ARGs), Matthew Inman (The Oatmeal), and Shane Small (Xbox, Marvel).
Exploding Kittens is a paid app in which optional game features may be purchased with real money. You must be at least 13 years old to download and play. There is also an option to compete online against strangers and resulting data transfer charges may apply. Player usernames and expressions are their own. Exploding Kittens, LLC is not responsible for and does not endorse player usernames or expressions. For our privacy policy, visit www.explodingkittens.com/privacy.","4.6","46,507","$1.99 Buy","Card","https://play.google.com/store/apps/category/GAME_CARD"
"Five Nights at Freddy's 4","https://play.google.com/store/apps/details?id=com.scottgames.fnaf4","NOTE: A device with at least 2 GB of RAM is required for this game to run properly.
In this last chapter of the Five Nights at Freddy's original story, you must once again defend yourself against Freddy Fazbear, Chica, Bonnie, Foxy, and even worse things that lurk in the shadows. Playing as a child whose role is yet unknown, you must safeguard yourself until 6am by watching the doors, as well as warding off unwanted creatures that may venture into your closet or onto the bed behind you.
You have only a flashlight to protect yourself. It will scare away things that may be creeping at the far end of the hallways, but be careful, and listen. If something has crept too close, then shining lights in its eyes will be your end.
NOTE: Game entirely in English.
#MadeWithFusion","4.6","30,288","$2.99 Buy","Action","https://play.google.com/store/apps/category/GAME_ACTION"
"Hitman Sniper","https://play.google.com/store/apps/details?id=com.squareenixmontreal.hitmansniperandroid","Step into the shoes of Agent 47 in Hitman Sniper and play the best sniper shooting game on mobile.
PLAY A TACTICAL SNIPER MISSION GAME
Strike with strategic shooting skills, fulfilling your duty to orchestrate the perfect assassination kill shot.
BATTLE ZOMBIES IN DEATH VALLEY
Call on non-stop shooting action as a zombie hunter, in a true battle of your skills and speed of execution.
150+ MISSIONS & 10 DIFFERENT CONTRACTS
Improve your strike skills on mobile for the perfect assassination as you uncover secrets and subterfuges in this fun game.
MOST BEAUTIFUL SNIPER GAME
Awesome and smooth graphics that make for addictive gameplay on top of a thrilling story.
PLAY WITH 16 UNIQUE GUNS
Eliminate targets, collect weapon parts and complete blueprints to unlock the most powerful guns.
COMPETE AGAINST YOUR FRIENDS FOR THE FIRST PLACE IN THE LEADERBOARDS
Boost your score and climb up the contract killer ranks classic with classic creative hitman kills to become the world's finest silent assassin.","4.4","867,205","$0.99 Buy","Action","https://play.google.com/store/apps/category/GAME_ACTION"
"Kingdom Two Crowns","https://play.google.com/store/apps/details?id=com.rawfury.kingdom2crowns","Kingdom Two Crowns is a side-scrolling micro strategy game with a minimalist feel wrapped in a beautiful, modern pixel art aesthetic. Play the role of a monarch atop their steed and recruit loyal subjects, build your kingdom and protect it from the greedy creatures looking to steal your coins and crown.
In the brand-new campaign mode, monarchs must now work to build a kingdom that stands over time until finding a way to defeat the Greed for good. Explore the environments to discover new mounts and secrets hidden in the deep.
But you don’t have to rule alone! Introducing cooperative play to Kingdom Two Crowns, monarchs can now choose between a solo experience or seek the assistance of a friend, working together locally in classic split screen while sitting next to your fellow monarch, or even across from them on opposite sides of the device in the custom mobile feature of tabletop coop.
In addition to the traditional medieval setting, Kingdom Two Crowns also includes:
• Dead Lands: Enter the dark lands of Kingdom. Building your Kingdom has never been spookier!
• Shogun: Journey to lands inspired by the architecture and culture of feudal Japan.
We will continue to keep the feeling of exploration, discovery, and strategy alive in Kingdom Two Crowns in post-release updates with more themed settings, each with unique styles that marvel the eye while changing how you rule the lands.
A challenge awaits all who seek it here, whether you are a first-time ruler or a long-time fan. So be brave, great monarchs, for in the end Two Crowns shall reign stronger than one!","4.3","2,272","$6.99 Buy","Simulation","https://play.google.com/store/apps/category/GAME_SIMULATION"
"Kingdom Rush Frontiers TD","https://play.google.com/store/apps/details?id=com.ironhidegames.android.kingdomrushfrontiers","Kingdom Rush Frontiers is a whole new level of the furiously fast, enchantingly charming gameplay that made kingdom Rush an award-winning Tower Defense hit.
In this strategy game you’ll defend exotic lands from dragons, man-eating plants, and ghastly denizens of the underworld -all with flashy towers, levels, heroes, and more goodies to help you crush your enemies to a pulp.
BUILD MIGHTY TOWERS!
• OVER 18 TOWER ABILITIES! Unleash Death Riders, pestilence clouds, or assassins that steal and clash your enemies in this tower defense game!
• 8 SPECIALIZED TOWER UPGRADES! Slice, sizzle, and stomp your foes with Crossbow Forts, Mighty Templars, Necromancers, and even Earthquake Machines - hey, we told you we were shaking things up.
• UPGRADE SYSTEM allows you to min/max your towers towards your preferred strategy.
• Fortify the frontier in epic news lands - hold the line in deserts, jungles, and even the underworld in this strategy game!
TRAIN LEGENDARY HEROES
• 16 LEGENDARY HEROES. Choose among mighty champions and train their abilities! Each has unique specialties that fit different play styles and strategies!
• Special units and features on every stage! Watch out for the Black Dragon!
DEFEAT THEM ALL
• OVER 40 ENEMIES with epic and unique abilities! Stay on your toes as you fight through desert sandworms, tribal shamans, nomad tribes, and underground terrors. Action like you have never seen before in this tower defense!
• EPIC BOSS FIGHTS! Hey, we told you to get those upgrades...
MORE MIND-BOGGLING CONTENT
• Hours of army with OVER 80 ACHIEVEMENTS! what can you expect from Ironhide Games, the creators of Kingdom rush? You will be hooked for hours searching for Easter eggs and epic achievements!
• PLAY IT AS A OFFLINE GAME! No internet? No problem! You will be able to jump into real action even offline!
• IN-GAME ENCYCLOPEDIA! learn all about this strategy game, your enemies and you will be able to plan the best strategy to clash them. Study up and play it as an offline game!
• CLASSIC, IRON, AND HEROIC GAME MODES to challenge your tactical skills to clash your enemies!
• 3 DIFFICULTY MODES! Are you up for an epic challenge? Go with Hard mode to play even as an offline game!
-----------------------------------------------------
PRAISE FOR KINGDOM RUSH: IGN Editor's Choice, Slide To Play Must Have, 148 Apps Editor's Choice, Jay is Games Game of the Year, Pocket Gamer Gold Award, Touch Arcade 4.5/5
Terms and Conditions:
https://www.ironhidegames.com/TermsOfService
Privacy Policy:
https://www.ironhidegames.com/PrivacyPolicy
Video creators, podcast creators, and streamers:
We would love to see your content on Youtube and Twitch! We support and promote channel creators so, if you want us to showcase your videos or want to know more about our games, feel free to write to us to contact@ironhidegames.com","4.7","164,919","$1.99 $0.99 Buy","Strategy","https://play.google.com/store/apps/category/GAME_STRATEGY"
"FINAL FANTASY TACTICS : WotL","https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.FFT_en2","Get FINAL FANTASY TACTICS for 50% off the regular price!
We have found out that some players have been experiencing that “FINAL FANTASY TACTICS : WotL” cannot be launched if a certain version of Google Play Store application is installed on their devices.
Google will update “Google Play Store” directly on those players’ devices to solve this issue.
If you are not able to launch “FINAL FANTASY TACTICS : WotL” now, please try again after a while.
We apologize for the inconvenience.
===================
Final Fantasy Tactics: The War of the Lions has arrived for GooglePlay!
Released as the Final Fantasy series' first tactical RPG in 1997, Final Fantasy Tactics on Playstation went on to sell over 2.4 million copies worldwide. The game grew in popularity upon its re-release in 2007 as Final Fantasy Tactics: The War of the Lions for the PSP with added features such as new movies, scenarios and Jobs.
You can enjoy the game whose story gave life to the world of Ivalice, and whose high strategy battles bring tactical games to a whole new level.
■Game features
- Intuitive Touch Screen Controls
The complex tactical game can be effortlessly and intuitively controlled by simply tapping units and menus. Gone is the old method of switching fixed map views - you can now rotate, move and change the size of maps as you please by sliding and pinching.
- Improved Loading Times
Loading times have been improved to get you into the action quicker than ever. What's more, you can even skip certain cut scenes.","4.3","17,628","$5.99 Buy","Simulation","https://play.google.com/store/apps/category/GAME_SIMULATION"
"Baldur's Gate II: Enhanced Ed.","https://play.google.com/store/apps/details?id=com.beamdog.baldursgateIIenhancededition","This game is optimized for tablets and not recommended for phones with screen sizes under 7 inches.
Kidnapped. Imprisoned. Tortured. The wizard Irenicus holds you captive in his stronghold, attempting to strip you of the powers that are your birthright. Can you resist the evil in your blood and forsake the dark destiny that awaits you? Or will you embrace your monstrous nature and ascend to godhood as the new Lord of Murder?
Continue a journey started in Baldur’s Gate: Enhanced Edition or create an entirely new character in this isometric Dungeons & Dragons roleplaying game. Baldur’s Gate II: Enhanced Edition includes the original 60-hour Shadows of Amn campaign, as well as the following additions:
Throne of Bhaal: Journey through Tethyr and into the realms of the gods in this thrilling conclusion to the Bhaalspawn saga.
Fist of the Fallen: Help Rasaad, the Sun Soul Monk, find peace in his quest for vengeance.
The Black Pits II: Gladiators of Thay: Turn your captors against each other while you dodge traps and battle for your life.
The following content is available for in-app purchase:
A Price Paid in Blood: Help the Blackguard Dorn Il-Khan appease the bloody demands of his dark patron.
A Voice in the Dark: Recruit the Thief Hexxat and retrieve long-lost artifacts from tombs as far away as Zakhara.
In Defense of the Wild: Stand with Neera the Wild Mage against a ruthless school of Red Wizards.
Note: All translations are text only. Voice-overs are played in English.","4.0","7,668","$9.99 Buy","Role Playing","https://play.google.com/store/apps/category/GAME_ROLE_PLAYING"
"Baldur's Gate Enhanced Edition","https://play.google.com/store/apps/details?id=com.beamdog.baldursgateenhancededition","This game is optimized for tablets and not recommended for phones with screen sizes under 7 inches.
Baldur’s Gate: Enhanced Edition is the classic 1998 RPG— enhanced for modern adventurers. Customize your hero, gather your party, and venture forth in this open-world epic where every choice matters.
75+ HOURS OF CONTENT
Contains the original 60-hour adventure, as well as the following additions:
- Countless improvements to the original game, including an improved interface, dynamic zooming, and more.
- TALES OF THE SWORD COAST | Explore more of the Sword Coast, including the fabled Durlag’s Tower.
- THE BLACK PITS | Battle a myriad of monsters in Baeloth’s marvelous arena.
- BROTHERS LOST | Help Rasaad yn Bashir, the Sun Soul Monk, as he scours the Cloud Peaks in search of his lost brother.
AVAILABLE IN-APP PURCHASES:
- NEERA AND THE RED WIZARDS | Save the wild mage Neera from the machinations of Thay’s dreaded Red Wizards
- PATH OF THE BLOODIED | Join the blackguard Dorn Il-Khan in taking revenge against those who betrayed him in Luskan
- GALLERY OF HEROES | Reimagine your character with eleven new character portraits from Icewind Dale artist Jason Manley
- NEW VOICE SETS | Further customize your character
STORY
Forced to leave your home under mysterious circumstances, you find yourself drawn into a conflict that has the Sword Coast on the brink of war. Soon you discover there are other forces at work, far more sinister than you could ever imagine...","3.9","23,705","$9.99 $1.99 Buy","Role Playing","https://play.google.com/store/apps/category/GAME_ROLE_PLAYING"
"Poly Bridge 2","https://play.google.com/store/apps/details?id=com.drycactus.polybridge2","New levels, new mechanics, a custom physics engine, and much more! Rediscover your engineering creativity with even more hours of puzzling fun!
Adrian Talens returns with a new full-length Soundtrack! Relax to the soothing and critically acclaimed music with 13 completely new tracks plus 18 of the original Poly Bridge songs remastered! Enjoy over an hour and a half of the familiar and gentle acoustic guitar rhythms.
Take on levels with some added cushion and bounce your way to victory with the new Spring material. Now your bridges can be even more flexible!
We went above and beyond this time, crafting a custom physics engine optimized and fine-tuned specifically for bridge simulations. Accurate and predictable, it guarantees the same simulation outcome for everyone, keeping the competitive aspect of the game alive!","4.8","3,448","$1.99 Buy","Simulation","https://play.google.com/store/apps/category/GAME_SIMULATION"
"Pocket City","https://play.google.com/store/apps/details?id=com.codebrewgames.pocketcitygame","Build your own city as mayor! Create residential, commercial, and industrial zones. Build parks and recreation spots. Respond to crime and disasters. Watch your city come alive!
No microtransactions or long wait times! Everything is unlocked and rewarded through gameplay.
Pocket City re-imagines classic city building simulation gameplay for Android devices.
- Build a unique city by creating zones and special buildings
- Trigger fun events like block parties, or disasters like tornadoes
- Complete quests to earn XP and money
- Unlock advanced buildings by levelling up
- Unlock new land with different terrain types
- Succeed by optimizing your cash flow, traffic, happiness, and more
- Enjoy a dynamic city with citizens, vehicles, animals and animated buildings
- Upload your city to the cloud to transfer to another device, or share with a friend
- Intuitive, touch-based city building
- Playable offline
- Play in portrait mode or landscape mode
- NO microtransactions","4.4","12,909","$2.99 Buy","Simulation","https://play.google.com/store/apps/category/GAME_SIMULATION"
"Graveyard Keeper","https://play.google.com/store/apps/details?id=com.tinybuild.graveyardkeeper","Graveyard Keeper is the most inaccurate medieval cemetery management sim of all time. Build and manage your own graveyard, and expand into other ventures, while finding shortcuts to cut costs. Use all the resources you can find. After all, this is a game about the spirit of capitalism, and doing whatever it takes to build a thriving business. And it’s also a love story.
- Face ethical dilemmas. Do you really want to spend money on that proper burger meat for the witch-burning festival, when you have so many resources lying around?
- Gather valuable materials and craft new items. Expand your Graveyard into a thriving business. Help yourself -- gather the valuable resources scattered across the surrounding areas, and explore what this land has to offer.
- Quests and corpses. These dead bodies don't need all those organs, do they? Why not grind them up and sell them to the local butcher? Or you can go on proper quests, you roleplayer.
- Explore mysterious dungeons. No medieval game would be complete without those! Take a trip into the unknown, and find discover new alchemy ingredients -- which may or may not poison a whole bunch of nearby villagers.","4.2","4,095","$9.99 $2.99 Buy","Role Playing","https://play.google.com/store/apps/category/GAME_ROLE_PLAYING"
"Ticket to Ride","https://play.google.com/store/apps/details?id=com.daysofwonder.tt.android","CONNECT MORE THAN JUST CITIES!
Set off with your friends and family to re(discover) Ticket to Ride, the classic boardgame. In this railway adventure, you’ll need to be the quickest to link up your cities and reach your destinations.
In this strategy game for all ages, try out different tactics, block your competitors’ lines and take over routes before the others do. With so many different strategies to try, each new game is a unique experience.
Travel the world from Europe to India, passing through the legendary China, facing new challenges by purchasing additional cards with their own special rules (available in expansion packs).
- A tutorial teaches you the rules of the game so you can head off quickly on your adventure
- Play in single-player mode, online multi-player against the whole world, or local multi-player with your friends
- This is the official adaptation of Alan R. Moon’s best-selling boardgame, Ticket to Ride, which sold over 8 million copies.
- An easy-to-play strategy game
- No game is ever the same, you can play over and over again
- Discover a series of add-ons with special maps and rules
- Challenge players all over the world in cross-platform mode","4.7","18,049","$6.99 $2.79 Buy","Board","https://play.google.com/store/apps/category/GAME_BOARD"
"Iron Marines: RTS Offline Real Time Strategy Game","https://play.google.com/store/apps/details?id=com.ironhidegames.android.ironmarines","After the award winner saga Kingdom Rush, Ironhide Game Studio presents the most extraordinary rts offline game!
Fight challenging real time strategy scifi epic battles on amazing and unknown planets. Command and conquer brave soldiers, mighty mechas and aliens against hordes of space monsters. Immerse into the world of real time strategy games! For all Kingdom Rush fans, who want to play RTS games and enjoy strategy games, offline or online & command and conquer armies as space marine.
The galaxy needs your command. The galaxy needs the Iron Marines!
WHY IRON MARINES IS THE BEST REAL TIME STRATEGY GAME
•COMMAND AND CONQUER ARMIES AS SPACE MARINE ADAPTING YOUR REAL TIME STRATEGY: Change the role of your space marine even in the thick of the combat, from ranger to sniper, from flamethrowers to missile launchers. You will need to set up your strategy to win this epic war!
•RECRUIT THE BEST MARINES FROM THE GALAXY: Lead them into dangerous territory against near-impossible odds and unleash their mighty powers.
•PLAY RTS GAMES OFFLINE OR ONLINE: Iron Marines offers you to play rts games offline, so you can clash your armies anywhere!
FEATURES
• 21 CAMPAIGN MISSIONS across 3 scifi planets. Each challenge will make you improve your strategy to save the galaxy!
• 17 SPECIAL OPERATIONS will test if you have what it takes to battle your way as a space marine.
• 40+ UPGRADES to build the ultimate RTS army! Choose between Defense Drones, Napalm Rockets, Ricocheting Blasts, Lethal Weapons and many more.
• +7 UNITS to bring into battle and give your hero some extra firepower! Choose between snipers, mechas, rangers. They are awaiting for your command in this war, lead them to victory!
• 8 SPECIAL WEAPONS to clash your enemies! What’s better than a well-placed missile? An orbital strike of 50 high-explosive missiles!
• DEFEAT UNIQUE BOSSES in epic battles. They are green, mean, killing machines!! Well, some are machines and these aliens aren’t green… but they’re all massive and determined to crush you. Suit up, Marines
• 70+ ACHIEVEMENTS to complete and show everyone you’re the best RTS commander in the galaxy!
THE FULL RTS STRATEGY GAME OFFLINE EXPERIENCE
•PLAY RTS GAMES OFFLINE: command and conquer the armies anywhere and enjoy the amazing real time strategy games experience. Your objective: win this war and clash your enemies.
•DIVE INTO THE OFFLINE SCI FI WORLD: play rts wherever and whenever you like. •CHOOSE YOUR DIFFICULTY MODE FOR THE BEST RTS GAMES EXPERIENCE: Casual, Normal or Veteran. Your choice! Only for the most daring space marines - the impossible mode - available offline & online!
Iron Marines will give you hours of gameplay in this epic real time strategy games available to play RTS offline game
HEARD ON THE MEDIA:
“Iron Marines catapults things to a science-fiction setting and switches up the gameplay to a Starcraft-esque, real-time strategy experience.” - The Verge
“Iron Marines is a must buy for all fans of the Kingdom Rush series and tower defense games.” - iPhoneFAQ
“It's fun, it's deep, and it's almost certainly going to make you exclaim with joy. Iron Marines is the mobile RTS that we've been waiting for, and it's a little bit brilliant.” - Pocket Gamer
“After basically creating the modern tower defense genre, Ironhide went away, had a think, then came back and essentially created the modern mobile strategy game.” - AppSpy
“It’s a chunky, cartoony real-time strategy game, it’s set in space, and it features napalm rockets.” - Droid Gamers
Get Iron Marines latest news: www.ironmarines.com
Terms and Conditions: www.ironhidegames.com/TermsOfService
Privacy Policy: www.ironhidegames.com/PrivacyPolicy
Content creators and streamers: We would love to collaborate! Write to us to contact@ironhidegames.com","4.6","64,564","$2.99 $0.99 Buy","Strategy","https://play.google.com/store/apps/category/GAME_STRATEGY"
"LIMBO","https://play.google.com/store/apps/details?id=com.playdead.limbo.full","What the press said:
“Limbo is as close to perfect at what it does as a game can get.”
10/10 – Destructoid
“The game is a masterpiece.”
5/5 – GiantBomb
“Limbo is genius. Freaky, weird genius. Disturbing, uncomfortable genius.”
5/5 – The Escapist
“Dark, disturbing, yet eerily beautiful, Limbo is a world that deserves to be explored.”
5/5 – Joystiq
Winner of more than 100 awards, including:
Gameinformer’s “Best Downloadable”
Gamespot’s “Best Puzzle Game”
Kotaku’s “The Best Indie Game”
GameReactor’s “Digital Game of the Year”
Spike TV’s “Best Independent Game”
X-Play’s “Best Downloadable Game”
IGN’s “Best Horror Game”
Limbo is an award-winning indie adventure, critically acclaimed for its captivating puzzle design and immersive sound and visuals. Its dark, misty spaces and haunting narrative will stay with you forever.","4.5","60,353","$4.99 $0.99 Buy","Adventure","https://play.google.com/store/apps/category/GAME_ADVENTURE"
"Five Nights at Freddy's: HW","https://play.google.com/store/apps/details?id=com.steelwoolgames.fnaf.hw","Five Nights at Freddy’s: Help Wanted is a collection of classic and original mini-games set in the Five Nights universe. Survive terrifying encounters with your favorite killer animatronics in a collection of new and classic FIVE NIGHTS AT FREDDY’S™ experiences. “Where fantasy and fun come to life!”
YOU’RE HIRED - Time to get your hands dirty. Repair claustrophobic ventilation systems, troubleshoot broken animatronics that could activate at any moment, or spend your evenings cowering in the nighttime security guard office.
PIZZA PARTY - Scenes from classic titles have been updated and remade for a fully immersive experience including Five Nights at Freddy’s, Five Nights at Freddy’s 2, Five Nights at Freddy’s 4, and Five Nights at Freddy’s: Sister Location.","3.8","3,894","$4.99 Buy","Action","https://play.google.com/store/apps/category/GAME_ACTION"
"Monument Valley","https://play.google.com/store/apps/details?id=com.ustwo.monumentvalley","In Monument Valley you will manipulate impossible architecture and guide a silent princess through a stunningly beautiful world.
Monument Valley is a surreal exploration through fantastical architecture and impossible geometry. Guide the silent princess Ida through mysterious monuments, uncovering hidden paths, unfolding optical illusions and outsmarting the enigmatic Crow People.
Ida's Dream now available.
Forgotten Shores: Eight new chapters of adventure and illusion available now as a separate purchase.
=======
""One of the very finest hours, and the value of such a thing is incalculable"" - Kotaku
""Brilliant design... stayed with me like a dream I didn't want to forget... 9/10"" - Polygon
""Monument Valley stuns with its serenity... each screen is a work of art"" - Huffington Post
""Almost impossibly gorgeous... a feast for your senses... 5/5"" - Touch Arcade
=======
BEAUTIFUL
Inspired by minimalist 3D design, optical illusions and palaces and temples from around the world, every monument is a unique, hand-crafted world to explore.
EASY TO USE
Twist and drag to reshape the world and help Ida to explore. Designed to be easy for everyone to pick up, enjoy and complete.
SOUND
Audio reacts to your manipulation of the world to provide a surreal and beautiful soundscape. Best experienced with headphones.
CLOUD SAVE
Synchronize your game across all your devices.
TABLET SUPPORT
Monument Valley is optimised for both tablets and phones.","4.8","235,018","$3.99 Buy","Puzzle","https://play.google.com/store/apps/category/GAME_PUZZLE"
"Five Nights at Freddy's 3","https://play.google.com/store/apps/details?id=com.scottgames.fnaf3","NOTE: A device with at least 2 GB of RAM is required for this game to run properly.
Thirty years after Freddy Fazbear's Pizza closed its doors, the events that took place there have become nothing more than a rumor and a childhood memory, but the owners of ""Fazbear's Fright: The Horror Attraction"" are determined to revive the legend and make the experience as authentic as possible for patrons, going to great lengths to find anything that might have survived decades of neglect and ruin.
At first there were only empty shells, a hand, a hook, an old paper-plate doll, but then a remarkable discovery was made...
The attraction now has one animatronic.
NOTE: Game entirely in English.
#MadeWithFusion","4.5","33,956","$2.99 Buy","Action","https://play.google.com/store/apps/category/GAME_ACTION"
"ePSXe for Android","https://play.google.com/store/apps/details?id=com.epsxe.ePSXe","ePSXe for Android is a Playstation emulator (PSX and PSOne). It is a port of the famous ePSXe for PC. ePSXe provides very high compatibility (>99%), good speed, and accurate sound. It is designed for smartphones and tablets, (for 1-4 players) including a fun 2 players option with split screen mode. It includes virtual touchscreen pad support, hardware buttons mapping (Xperia Play, phones with keyboard or gamepad, external gamepads bluetooth or USB such as WiiMote, Sixaxis, Xbox 360, Moga, Ipega) and analog sticks. ePSXe includes native support for ARM and Intel Atom X86.
ePSXe supports HD enhanced graphics including 2x/4x software renderer and two OpenGL renderers, cheat codes as well as savestates and memcards compatibility with the PC version.
More info: http://epsxe.com/android/
Customer support: epsxeandroid@gmail.com
Privacy policy: http://epsxe.com/android/privacy-policy-android.html
** IMPORTANT: ePSXe DOESN'T INCLUDE GAMES. GAMES MUST BE PROVIDED BY THE USER **","4.6","50,363","$3.75 Buy","Arcade","https://play.google.com/store/apps/category/GAME_ARCADE"
