Review_ID,Game_Name,Game_Url,Description,Ratings,Users,Price,Game_Category,Category_Url,Date_of_Remarks,Remarks
11,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 6, 2022",very relaxing amazing for tough times I love the sound effects when you slap or kick someone 5 stars need to play game.
12,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 4, 2022","It's boring after a day and don't but the no adds thing bc it does nothing it still gives you adds if you wanna get revived or go for a spin and so on,the only add that went away was the one after you die but still is useless"
13,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 14, 2021",I love it but why am I STILL GETTING ADS?! I paid the 2.99. Fix or refund my money. Thank you.
14,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 4, 2022","Won't run without a data connection yet, you can't play a level w/o an ad so.... uninstalled just like my other VOODOO games 🙄"
15,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 3, 2022","You might think paying for no ads would stop you from having to watch ads, but you'd be wrong. There are still some upgrades you can't buy with coins, you have to watch more ads to get them even after paying to get rid of ads"
16,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 19, 2021",Even if you pay for the ad free version you will still gonna have to see the videos ads after each level .👎👎👎
17,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 1, 2022","It's actually a really fun game however as all the other reviews have said, FAR TOO MANY ADS! I purchased the no ads for $2.99 and it does absolutely nothing to take away the ads. They literally try to steal $2.99 from you lol luckily I was able to get it refunded!"
18,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 31, 2021","Slap and Run is fun but, it's a bit boring at times. The levels don't change much and it's not very hard to win. There's no character customization, and The background characters are always the same. Overall pretty fun but could use more creativity."
19,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 30, 2021","Pretty fun game BUT the ads are absolutely ridiculous!!! Not worth a 10 sec game play for a 40 sec ads!!!!! There's a ad before you play, if you die and when you reach the end and there is also a ad at the bottom of your screen, I will not be playing or keeping this game!"
20,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 5, 2022","This is really fun to play (In my opinion) and it's really fun to play for me because my siblings are really annoying, So I imagine the people as my siblings 🙂👍 I would recommend on playing this. I also turn off my wifi access when I'm playing (I'm on Android) so the ads won't bother me^^"
21,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 21, 2021",Decent game but wayy too many ads- not worth it since it also caused performance issues with my phone. No thanks. 👎
22,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 31, 2021","Thought the game was hilarious. But the ads made it frustrating. I paid for the ""ad free"" version and feel like I got screwed over. It's not free from ads and just as frustrating as ever!"
23,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 2, 2022","It is fun to play. I dont like how I can't redo a level. I want to be able to get a perfect slap run. The ads are a downer to, get busy on an update gang."
24,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 31, 2021",After every turn there are 2 unskipable adds about 30 seconds each. Then if you want to upgrade stuff you have to watch another 30 sec unskipable add. After about 2 minutes of adds you get to finally do your 30 second run of slaps. Now back to commercials!
25,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 14, 2021",Game = fun. Ads after EVERYTHING freaking SUCKED! ***WARNING*** DO NOT DOWNLOAD. Unless you don't mind dual 20 second ads every 10 seconds. Playing the game allows me to give 1 star...would give only 1/2 if I could. Could be good but dang the ads are like a cloud of knats and you are sweaty. 🤣
26,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 21, 2021","Its pretty fun and I enjoy the simplicity, but the constant ads make it pretty annoying. Also, I understand that the point of the game is to slap people, but I just think it's really weird that you're slapping women's butts. It's kinda gross."
27,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 4, 2022","I love it. I love the sound of the slaps lol. I just hate the ads theyre annoying,"
28,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 4, 2022",Should have called this game ad city. 20 seconds of game = 4 minutes of ads. Uninstalled.
29,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 2, 2022","This game is soo much fun, but I know you have to have ads, but when the ads end, you can't go right back to the game (lame)! I know it doesn't make a difference to anyone, but I am going to delete the game."
30,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 28, 2021","I gave this 1 star because although it was fun, the ads were way too excessive. I can understand maybe after 3 or 4 levels, but after every level?? Nah, it just ruined the game for me."
31,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 4, 2022","Description of game is nothing like what you download. Ads are forced upon you, you can remove ads at a daily price, otherwise you will be unable to play game because of being bombarded with ads. If this is the only way developers can make money on app, then they'll be broke soon. Uninstalling"
32,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 4, 2022",It's kinda fun but so many adds so frequently. In the first ten minutes of playing I spent more time waiting for ads to end than I did playing the game. It was easy for me to loose interest. Deleted this app 10 minutes after I downloaded it. Too many ads too frequent.
33,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 2, 2022",I'm actually pretty disappointed. I paid for the paid version thinking that ads would go away. Any time you do an extra bonus puzzle THERE IS ANOTHER AD!! EVERY PUZZLE! it's maddening and I want my money back. If I paid for no ads why do I still have ads????? Would not recommend.
34,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 30, 2021","So inanely simple it's only useful to teach toddlers problem-solving. Dare I say the only reason this 'game' exists is to generate ad revenue with ads every level or 2. Additionally, even when I turn off the sound and vibration, the next time I launch the game those settings aren't saved. YMMV."
35,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 30, 2021","Extremely easy and repetitive. No fun factor. If you beat 10 levels, you've played the game. Sure, after a hundred levels you've earned enough coin to change the visuals, but the mechanics don't change. It's a brainless, boring waste of time."
36,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 5, 2022",I can't really enjoy the game because there is way way way too many commercials and ads! Definitely going to be uninstalling! I hate watching ads and commercials!! So if you like lots of commercials and ads this is definitely the game for you!!!
37,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 28, 2021","10% game play, 90% advertising. This game isn't even completed yet, apparentlyit'sstillunderconstruction! I've reached over 6 million points, and keep seeing ""coming soon"" signs. Meanwhile it's just the same thing over and over and over again! Boring!!!"
38,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 3, 2022",Just an ad engine. Want to play? Watch an ad. Need a hint? Watch an ad. Accidentally tap the wrong thing? Watch an ad. And this was just the first 10 levels which are mostly teaching you how to play. Not wasting any more time with this.
39,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 28, 2021","I don't mind watching ads to play a game for free but when there are ads every time I complete a 5 second level I end up spending more time watching ads then actually playing the game. Too simple, too many ads, boring and annoying."
40,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 31, 2021","Not what was advertised. I was expecting something more physics based and this is just an elaborate puzzle of ""what order do I pull the pins"" without a whole lot the physics based advertisements. And thank God for my ad blocker. Cause that would have been annoying as hell otherwise."
41,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 1, 2022",Fun game but because of all the ads I only gave it 2 Stars. I play about three rounds and then an add pops up and then another ad pops up. so annoying I just want to play it. I waste more time on the ads than the actual game.
42,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 1, 2022","Levels don't really get progressively harder and you have to watch a 30 second ad after every 7-10 seconds of game play. Also, level 32 is glitches and is literally impossible to complete. It's a nice time water though."
43,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 3, 2022",The game is far too simple. When I don't have to think about a level and finish in three seconds I don't want to watch 30s of ads. If it were a little more fun and challenging I'd be motivated to pay for ad free. Will uninstall.
44,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 4, 2022",There are ads after every single level of this game.Also this game is too easy. So you spend even more time watching ads. There are much funner games out there you just need to find them. Good luck. Happy hunting.
45,Pull the Pin,https://play.google.com/store/apps/details?id=com.maroieqrwlk.unpin,-''-,3.9,"340,460",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 24, 2021","The game is fun but, since updating there have been too many glitches. I have earned the same puzzle pieces over and over and can't complete a puzzle. The gift boxes are also glitched. I watch the ad and the box doesn't open. When I try to watch the ad again I get the no ads available message."
46,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 31, 2021","I've only just started playing it and I hate it already. Whenever I went to put a rubber band on, it would make my phone vibrate, even though I have vibrations off. I looked for the settings to change that, but the button was blocked by my front camera, making it impossible to change."
47,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 30, 2021",it's fun but there is no way to skip or get a hint on a level. ive tried looking it up myself but it seems like the app is updated so often that the level that i'm stuck on doesn't correspond with the level on people's videos. i'm literally stuck on level 6 with the sun and i can't pass it.
48,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 25, 2021","From my experience, the ads aren't overbearing (one every 3 levels, or one after each failed attempt) and the puzzles are entertaining. The negative reviews may have applied previously, but as of right now I am pleased with this game"
49,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 31, 2021","Decently entertaining for the first 60 levels or so. After that, they start repeating. Also discovered that you don't even really have to pull the rubber band in the right direction, if you just flick in the starting direction it'll do it for you; not much of a challenge."
50,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 3, 2022","Absolutely laggy, ads play in the middle of the level. some ads don't even load properly. nothing keeps me engaged at all. needs to be fixed before it's deemed playable honestly."
51,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 31, 2021",Ads constantly interrupting play. Like before even being done with a level. Not even worth the time and the ads are false advertising. There are no guide points near the edge.
52,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 5, 2022","Doesn't get any more challenging as you progress, rubber bands will snap to make it 100% every time, isn't precise with how you actually place them."
53,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 2, 2022",I'm sorry but this game has wayyyyyyyyy to many adds every few seconds there is a add. That is why I gave one star ⭐ otherwise the game is good. If you hate games that have way to many adds do not get this game just letting you know.
54,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 5, 2022",IM VERY UPSET RIGHT NOW THIS GAME IS SO FRUSTRATING AND I HAVE ANGER ISSUES AND I CRAKED MY SCREEN BECAUSE OF THIS STUPID GAME! I DONT RECOMMEND!!! Also there is no other buttons or such thongs you can press when you need help on a level no hints or anything!UGH!
55,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 1, 2022","i can normally handle ads, but with each level taking no more than ten seconds to solve, having an ad after every single level is exhausting. not worth it."
56,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 2, 2022",Ad on every level! I love the premise of the game but there is an ad on literally. Every. Level. Not worth the time to download and then delete.
57,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 3, 2022",Played for less than a minute and got 5 ads! I'm okay with some ads but it interrupted the game way too much! Avoid this game like the plague until the devs get their thrash sorted.
58,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 5, 2022",It's a fun game when you are offline but some levels won't work at all even tho I'm making the shape if they fixed that I would give it 4-5 stars
59,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 4, 2022",The settings button is completely covered by my front sensor. I can't turn off the vibration. Also an ad every level is ridiculous
60,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 31, 2021",Ewwww it vibrates any time you touch be screen. Also the ads are bad. The game idea is fun but the vibrating really kills the vibe for me.
61,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 2, 2022",This game sucks. You just start do 1 sponge there is a ad. Then on the 5th or 6th level it's so difficult! If I could rate it a 0 I would
62,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 2, 2022",There are ads during gameplay. This game is not like the ads and the vibration makes it worse but im pretty sure there is a button in settings that turns it off
63,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 1, 2022",This game is good when it works every two levels it glitches out my phone and freezes it gets anyoning but when I can actually play the game it's fun
64,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 6, 2022",The amount of ads in this game makes it unplayable. And the user interface is awful
65,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"December 29, 2021",This is the worst game I've ever gotten!! I started playing it and it started making my phone buzz none stop and then it restarted my phone. I don't recommend this game but it could've been something else.
66,Sponge Art,https://play.google.com/store/apps/details?id=com.Game.SpongeArt,"Squeeze the sponge by using rubber bands to match the image.
Use your imagination to find where to put the bands while also having fun.
Easy to learn, not that easy to master.",4.2,"7,159",Free,Puzzle,https://play.google.com/store/apps/category/GAME_PUZZLE,"January 4, 2022",Its a fun pluzzle game Only problem i have its so Ad heavy I spend more time watching ads than playing the game.
