Review_ID,Game_Names,Ratings,Price,Game_Category,Date_of_Remarks,Remarks
19,Minecraft,4.6,$7.49 Buy,Arcade,"December 21, 2021","I think it is the perfect successor to btd5 with every good quality from that game put into this one and then more, it is such a fun game and has given me hours of fun, overall, this is truly an amazing game just showing what good games can look like"
20,Minecraft,4.6,$7.49 Buy,Arcade,"December 21, 2021",I love the game and all the updates but it still has some issues in the multiplayer mode. It is still glitchy and has trouble getting into the game some times. My brother and I were going to play together but he is still waiting to get in.
21,Minecraft,4.6,$7.49 Buy,Arcade,"December 24, 2021","For $.99 you can get the BEST tower defense game. You'd be a fool to pass up a 99 cent game like this, totally worth. I've gotten more play from a 99 cent game, than some of the games I own on steam. You can get this on steam too, BTW but it's like $10 so nah. This one is the way."
22,Minecraft,4.6,$7.49 Buy,Arcade,"December 24, 2021","I love this game, except there's a problem with cooperation mode, the lag, getting kicked out, but mostly getting kicked out. It's not a complaint ,but really if you were to fix it I'd be happy."
23,Minecraft,4.6,$7.49 Buy,Arcade,"December 17, 2021","One star because Co-op mode is practically unplayable because of serious lag issues. Will update if my experience changes... *Update 2021* issues have been fixed, and the new content added is AWESOME. This game is top 3 one of my favorites! Well worth the $5, and sometimes it goes on sale as well ;)"
24,Minecraft,4.6,$7.49 Buy,Arcade,"December 19, 2021","Love the game, but for some reason when I try to play with one of my friends it says the game versions are incompatible. Other than that the game is amazing. The bloonchipper would be a great addition to the monkey crew."
25,Minecraft,4.6,$7.49 Buy,Arcade,"December 9, 2021","Great game. It would be a whole lot better if you BT6 creators could put the Bloon chipper from Bloon Tower defense 5 on this game. If anyone doesn't understand what I'm saying, play Bloon tower defense 5, and you will understand what I'm talking about."
26,Minecraft,4.6,$7.49 Buy,Arcade,"December 16, 2021","it's basically your normal tower defense game, BUT! WITH MONKEYS. besides that it's a very good game with working achievements and events and also good gameplay, it also has a save file feature for entering and exiting maps, maps are well designed as well. Good for a strategy game."
27,Minecraft,4.6,$7.49 Buy,Arcade,"December 15, 2021",I base all other game reviews off this game. The entertainment for the price is incredible. The more you play the more in depth you can get with strategy and they just keep giving more!
28,Minecraft,4.6,$7.49 Buy,Arcade,"December 1, 2021","Absolutely love it. Music, towers, POP sounds, but one thing. ADD. THE. BLOONCHIPPER! 🐵 Good game, Co-op gamemode isn't your fault that the internet is bad. Very good game highly recommend playing. Happy holidays."
29,Minecraft,4.6,$7.49 Buy,Arcade,"December 22, 2021","Semi-perfect game. Most of the players/ me would like to see maximum upgrades on all monkeys just like you did for the ""Boomerang monkey."" That's basically all that's wrong with the game in my opinion. Decent 4 out of 5."
30,Minecraft,4.6,$7.49 Buy,Arcade,"December 12, 2021","easy to pick up, hard to master for a small, fun little monkey game, it gets challenging but the sandbox of it makes up for some of the impossible levels and builds you can make, ive got hundreds of hours"
31,Minecraft,4.6,$7.49 Buy,Arcade,"December 10, 2021",Very nice time consuming game thats very easy but has the option to be very difficult in a matter of moments. spent hours just working on leveling up for my own entertainment. The only money I would spend on a mobile game again.
32,Minecraft,4.6,$7.49 Buy,Arcade,"December 23, 2021","I love this game, its your basic tower defense but with so many maps. Not only that it also has multi player. If you like tower defense games this is a must have."
33,Minecraft,4.6,$7.49 Buy,Arcade,"December 8, 2021",Coop is better. It looks like the person with the slowest device should be host and all others should set auto start to off. Screen record may be slowing it down. Time.Deltatime. Perform a ram test prior to match then autoswitch host
34,Minecraft,4.6,$7.49 Buy,Arcade,"December 19, 2021","I have a very big problem with my acount, after the most recent update my acount has been reset hero's, monkey paths, monkey knowledge, monkey money, and all powerups. This is very irritating and it needs to be fixed!"
35,Minecraft,4.6,$7.49 Buy,Arcade,"December 3, 2021",Love this game so much. The paragons add a fresh new play style. The only thing that I can think would make this better is secret agents from btd 5 or the bloon chipper. Can't wait for the next new boss bloon and next paragon. Also I wish the teir3 monkey bank would let you deposit money again.
36,Minecraft,4.6,$7.49 Buy,Arcade,"December 21, 2021","Just purchased this game and tried to open it, instant crash. Just a black screen. Came to leave a review and I sorted all the reviews to my same device (S21 Ultra 5g) and apparently everyone is having the same issue since the last update. Will not rate this above a 1 until this problem is fixed."
37,Minecraft,4.6,$7.49 Buy,Arcade,"December 3, 2021",I enjoy playing with my friends. But let me warn you if you're going to play online play then just don't. If you enjoy playing 75 percent of the game only to have it freeze and everyone stuck in limbo then be my guest. Fix this issue and it's 5 stars
38,Minecraft,4.6,$7.49 Buy,Arcade,"December 15, 2021","It was 100% worth the investment. For a free app. At $5 it's not outrageously expensive or anything, but it feels like the price point creates a ""value vs investment"" internal debate..."
39,Minecraft,4.6,$7.49 Buy,Arcade,"December 17, 2021","This game is so horribly rigged when verging the AI it doesn't even try to hide it, the dice roll is not by chance at all, every single roll every single game l you land on chance or non properties while the AI get double rolls on properties everytime, at least make it not looked rigged"
40,Minecraft,4.6,$7.49 Buy,Arcade,"December 19, 2021","""difficulty"" is basically just how much does the AI get given the roll it needs. DLC is insanely priced. Only buy it if you literally can play online or just do not care about a well designed game. Terrible."
41,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 14, 2021",Fun Game would like to know how the CPU is decided on the dice roll but overall a fun game to play brings back good memories when playing this as a kid.Update from 4 stars to 1 . I had to this game is more more based on luck then skill I wouldn't recommend spending money on this game.
42,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 14, 2021","The bots are at an unfair advantage! The game is very well made but, it's so unfair even on easy! Shouldn't have to struggle that hard when playing on easy! Bots and dice rolls are total garbage! Change the bot settings or I want my money back!!!"
43,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 12, 2021","Absolutely LOVE this game, but it has not been working for the past couple weeks. Uninstalled and reinstalled multiple times with no change. Keeps crashing on startup."
44,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 16, 2021",I've been unable to even get into the game for 3 weeks now. I've sent reports but have heard nothing and the game still crashes before I'm even in. Horrible game. I want my refund!
45,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 20, 2021","It's a good game but doesn't have the live video like the advertising says. Live video should be for all players at all times to make it more fun. So, this is just another regular Monopoly game."
46,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 13, 2021",Crashing constantly. Every time I put houses on my property the game freezes and I can't end my turn. We have to start a new game just for it to happen again. It's aggravating
47,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 24, 2021","Awesome, great boards to play with and pieces. Monopoly game has improved greatly since the last time I played. Great job on this app will always okay this for while to come."
48,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 15, 2021",It was working fine but stopped after the last update. Paid for the Winter Package too. It's been a few days and still no access. I want a refund if I can't open the app?!
49,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"July 27, 2020",The online part of the game is perfect. But playing singleplayer everything is rigged and there is no difference between the hard and easy difficulty bots. Stop lying to us atleast.
50,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 19, 2021","Ive had this game and played it on this phone before. But everytime i try to load it, it stops on the monopoly screen and freezes. Ive uninstalled twice cleared cache and date twice and it still will not load."
51,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 8, 2021",I've had this game for a year or 2 and had it rated 5 stars but all of a sudden the game won't open I click the icon and it'll go black and then back to my home screen. It's a shame I really liked this game.
52,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 14, 2021","Good when you can play. Ran in to a user ""Whatever"" who stalls the game if he doesn't get the trade he wants, maybe a child. No way to report the user or communicate what so ever. Would love vote to kick, report and avoid options for players like this."
53,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 9, 2021",I would of gave this five but it crashes in the middle of games with no reasoning at all makes me not want to play because you can be in the middle of a great game and boom just freezes and stops working
54,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 16, 2021","I can't believe how much this game crashes. I have been able to play 1 game, that's it. Now I can't even get back into the game...absolute waste. But, it was fun while I got to play! 🙄"
55,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 20, 2021","Some players lollygag and have multiple accounts. This causes the game to be frustrating rather than fun. Sad part is, there's no way to report the behavior. Fix it & I'll adjust my rating."
56,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 18, 2021",App stops working soon as I open it. Have a feeling it has to do with the recent Android update. Edit: Game developer blames it on Android 12 and the S21. Maybe you just need to update your app?
57,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 16, 2021",I would have put a 5 stars but going to jail 4 times in a row is statistically impossible. Not sure what kind of algorithm is used but it is bad.
58,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 18, 2021",Game keeps crashing. I only got to play it once and after I got done and got back on it keeps crashing. Please fix your game.
59,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 9, 2021","Love all the options, the different maps, and the ability to play either by yourself or with other people. Totally worth the money!"
60,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 20, 2021","Was good until I went to open the game & it crashes. Eveytime since I ca t open the game at all & I've tried deleting & reinstalling the game, multiple times which didn't work."
61,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 15, 2021","Very charming little game. Lots of theme purchase options, but I'm enjoying just the classic look. 3D city is fun."
62,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 10, 2021","I wouldn't play this if it were free, too late now. Microtransactions for EVERYTHING and there's nothing random about the dice roll. 5mil you made off garbage.🤮"
63,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 22, 2021",Worst game ever it lags pauses in the middle of the game it takes it so long for people to go the game was just stop I'm telling you I want my money back I need a refund I only played this game one time since I downloaded it I need help on how to get a refund from Google Play
64,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 13, 2021","I got the game and haven't been able to play a single game on it. EVERY SINGLE TIME I click start game, it crashes instantly."
65,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 9, 2021","Finally got to play after a week of the app continuous crashing, and it was worth the wait. Lots of fun and at a quick pace."
66,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 23, 2021",Love this game! I only wish there was some sort of reward system. Like ranks and how many wins and losses. Other than that I'm obsessed!
67,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 8, 2021",Bought it and for a week straight it has never worked. Turns on shows hasbro then turns off. Never had a chance to even play it. S21 Ultra
68,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 11, 2019",Great way to play! I always loved monopoly and now its great to play anytime I want. It is a very fun game!
69,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 16, 2021","Unplayable. Crashes during the loading screen, even after multiple updates. Please refund my money."
70,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 22, 2021","Game crashes Have an S21 Ultra. Game crashes at start up. I made to game start once, then crashed. It was 5* until now."
71,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 14, 2021","If you think its bad, YOUR WRONG because there is so much you can do, the community is so kind and nice, the levels are so fun and im happy this game is out. Thank you robtop and the whole game is so good, the build mode... makes the game have people. Everyone can wait until 2.2. We can do this."
72,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 14, 2021","This game is so unique! I LOVE IT! The rip-offs of this really suck, so this is the best one of those jumping-cube games, plus, if you don't wanna play the 21 main levels, play the endless online levels! And you can make your own levels using the level editor! Robtop, PLEASE MAKE 3.0!!!!!!"
73,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 8, 2021","Obviously one of the best games of our generation. With neverending fun, great music, and incredible surprises, Geometry Dash supplies you all of those elements. This is one of those games that actually requires skill and builds skill as you progess. Love it!"
74,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 21, 2021","Short little thing about this game, it's awesome, hard but fun, basically this game has everything you could ever want, except for one little problem, one day, when I went to play this game, all of my progress was gone! 5 stars --> 1 star | I am never playing this game again!"
75,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 12, 2021","This game is one of the best I have ever played. Great music, great levels. But when I try to select a custom song for my levels, the game keeps stopping for no reason. I would like you to fix that please, but other than that, this game is awesome."
76,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 10, 2021","This game is so addicting! Aside from the parts where I rage. This game is fun! The songs are original! The gameplay is fun! And other modes like ship, wave, UFO, spider, robot, and the most iconic gamemode, THE CUBE!!! Five star! Awesome game!"
77,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 11, 2021","I. Freaking. Love. This. Game. It is so fun! I don't really care about 2.2's wait. After all, it is the biggest update we had since 2.0! Even though I know about 2.0, I have been playing since only June 7, 2017. Hope you like this review, and stay motivated!"
78,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 19, 2021","Love the songs, and game. The official levels are fun, and it's more fun to play other people's levels you may rage every now and then though. When you buy the game you have the entire game. It's not pay to win it takes skill and dedication (2.2 when)"
79,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 15, 2021","This game is very good, it is a great time killer. And ot is fun. You can customize your icon many ways and you have to do some work to do it. Once you finish a level you feel good that that level is good. 10/10 great game."
80,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 21, 2021","One of the best games i have ever played! Plus, it has absolutely no ads at all! The only problem is the time it takes to update. Sure, big updates are nice, but it would be better if you did a lot of small updates, that would be just as good!"
81,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 21, 2021","This is so fun! The levels may be hard, but their goals to work on! AND you can make your very own levels in this one! (This one is the full version). This is the best game ever! And RubRub, i'm very excited for 2.2! Keep up the great work! And where is my chicken?"
82,Bloons TD 6,4.8,$4.99 $2.99 Buy,Strategy,"December 13, 2021",This game has been my favorite over the past years of playing.. this is definately worth the money. You can make your own levels an play your friend's levels. It is truly an awesome game to play.
83,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 21, 2021","this game is phenonamal! i love everything about it. the levels are great, i only have 1 left to beat, and the game is just great overall! a few bugs and quirks but the game is not really affected. also where is 2.2 robtop?!?"
84,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"October 7, 2021","I've had this game probably since release now, but there's an issue with the daily chest where it says ""something went wrong"" when I go to open it and I have no choice but to back out and wait for the timer to open it again without getting my rewards."
85,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 16, 2021","I love this game! I have it on PC, X box, and my Phone. I most likely have well over 200 hours in this game over all(dont hold me to that I really have no clue). Over all it's enertaning, and an amazing time waster that makes you feel like your accomplishing something. TLDR-its a good game"
86,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 24, 2021",This game is literally what I remember from the ps4 but mobile. Not only that but it doesn't require any network connection and that's not even the best part. It is SUPER battery efficient. I play this game and it doesn't murder my phone like other games. I absolutely love this 👍
87,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"November 10, 2021","This a really good port of the console/PC variant. Touch controls are okay. I wish they could be better. Playing with a controller, such as the Razer Kishi, makes this a very wholesome and fun experience. It's honestly one of the best games I've ever played and it's great that it's so accessible."
88,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 14, 2021","very fun. only downside is that it is less updated than the PC version, a huge letdown since mobile is easier to play on.. if the dev sees this, please consider updating the mobile version to the PC version. that is the only thing keeping me from giving 5 stars."
89,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 14, 2021","Fantastic story, gameplay and highly addictive. If you haven't played this gem already you are missing out. Also you can really see the love and care put into this game, it was made by one guy, now he has help but at it's core it is his child."
90,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 17, 2021",Such an amazing game. Only thing I wish was in it was the option for a poly relationship. I'm so torn between three batchelors and being poly myself makes the game almost painful. But aside from that amazing work! The same gender marriage option is a true breath of fresh air.
91,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 23, 2021","Absolutely love this game. So enjoyable to play. My only suggestion would be to add more post game content. I also wish there was cross save available across multiple platforms. Lastly, please consider making the mobile version multiplayer! Other than that, this is my favorite game at the moment! 🖤"
92,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 16, 2021",This game is great and can be addictive. I just have a small issue. The newest update doesn't start properly on my phone I have no idea why I changed nothing on my phone I have tried redownloading the game and all kinds of things but haven't found a fix.
93,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 14, 2021","I love everything about this game. The characters, the art, the stories, they're all so fun and it makes me want to keep playing. No ads, no dumb little pop up things, etc. I would 100% recommend this game to anyone needing a break from something since this game is relaxing yet fun. ☺️"
94,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 14, 2021","This is my favorite game on Google play. It's a thriller, I get scared everything. And plus I'm an adrenaline junkie so it's no big deal. I love it its just that on the 2nd night, seems a little tough, maybe fix that. But that's the only problem This game is amazing."
95,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 24, 2021","I love FNAF but there's this bug that makes playing the game almost impossible. When I pull up the cameras or close out of them, the game won't let me. Otherwise, the game is pretty fun."
96,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 17, 2021","Incredible. Just, incedible. The graphics are amazing, but the jumpscare animations are low quality, making it less frightening. I don't see the option to customize your own night, though. The gameplay is simple and easy to learn, but challenging to master."
97,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 14, 2021","This game is generally pretty fun. However, at times it feels like it just drags on and can be an unpleasant sitting simulator. Although later nights somewhat makeup for this with their difficulty."
98,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 20, 2021",This is a very fun game but the jumpscares freak me out but maybe I will get the game back but its this a fun game I have enjoyed fnaf security breach a lot. Please some day make the jumpscares less scary
99,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 22, 2021","The King of Horror Five nigbts of Freddys is the best Horror Game avaliable on Mobile. The Ambience, the lighting, the noises everything in this game adds up to the Masterpiece it is. If you want a game that makes you terrified this is the one."
100,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 20, 2021",Puts you on the edge of your seat throughout all 5 nights. 5 stars. Fun and also replayable. Definitely worth the 3 bucks.
101,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 24, 2021",I love the game but the only down side is that when your trying to do a custom night extra characters on it but either way it's a good game
102,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 24, 2021",I love how this game has moble support and if your on chrombook the controlls are very simple! I loved this game when it was 2014.
103,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 21, 2021","Its got everything for a horror game: Creepy sounds, things coming to kill you, Etc. The one thing idont like is that the animatroncis dont move when doors closed vefore they reach your office and u gotta open it trun on light and close it again. Overral the best horror game ever."
104,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 22, 2021",I wish I could give it 5 stars but there is a glitch or something when Every time I pull up the table it will stay stuck like that and If I can put it keepse off the Cams.
105,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 24, 2021","This game Is very fun to play with the high stakes of being murdered by these animatronic character's, while watching their every move on the cameras."
106,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 14, 2021",Not having a pause function makes it realistic so I kinda like that part but peaple die a lot when they're not focusing on the game but realy good game 👍
107,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 14, 2021","Game is good, but after I played it once or twice, and decided that, ""hey I don't play this often, so i'll just refund it"" but couldn't. So that kinda sucks :("
108,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 22, 2021","It was kind of scary, I don't recommend this to anyone who gets scared easily. The game was quite hard. Be expecting some jump scares."
109,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 15, 2021","Amazing game.great mechanics,amazing character design and a fantastic esthetic you would think since it's a mobile port it would feel cheap and have watered down basic controls but nope the controls are great and most importantly you can boop Freddy's nose"
110,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 16, 2021","There's no action or real interaction!!! This is bad!!! I need to be able to move around physically and physically open the doors to the rooms, Please work on updating this one!!! Thanks."
111,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 23, 2021",I have loved this game forever and I just recently bought it for myself a few months earlier but I've been stuck on night five. This reminds me of when I was 6 always playing with my cousins but this game is great and always will be
112,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 18, 2021",Very fun and scary game but i have an issue this issue is when bonnie is at the door he will sometimes just sit there and waste your power mostly when its at 4 5 or 6 nights and he will leave when its at like 25-13 percent power left not even close to get to 6 am mostly when its 4 am
113,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 16, 2021",I love the game and it's really fun but the Jumpscars are scary 😨and I rate it 5 stars because the jumpscars. I love the poster of Freddy Bonnie and Chica and that you could boop Freddy's nose and my favorite one is bonnie
114,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 16, 2021","An absolute classic that still holds up with simple but fun gameplay, good scares, and a mysterious but intriguing story."
115,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 16, 2021",Game is pretty good. I know it came out 5 or 6 years ago but that doesn't make it bad. The game can be boring sometimes and repetitive. I wish there was more content.
116,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 19, 2021",I like this game it's very fun and you could buy game passes like the plushies and the health kit that gives you: unlimited power fast nights and radar map five nights at Freddy's is awsome!
117,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 21, 2021","This is FRICKIN AMAZING. I LOVE the rule set, the gameplay, it's really scary, and I even beat 20/20/20/20 mode. THANK YOU soooo much for this game scott!!"
118,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 22, 2021","intriginly terrafiying and challenging. Defintly encouraged me to play the others. Yeah it has jumpscares but it doesn't rely on them to make it scary. While i do wish the second night wasn't such a nightmare to pass, I always love a good challenge, well done!"
119,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 21, 2021",I love this game it was amazing but it sucks when you are so close to 6 one mess up you lose but it is very scary and fun.
120,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 22, 2021","Terraia is the type of game that can suck you in for hours at a time. The creative world, building, and crafting are so much fun! While PC is where I originally played it, bur they have made it so accessible on mobile and others its worth buying again."
121,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 21, 2021","The game is really good, I'd say it's better on computer or anything but mobile, but if mobile is all you have got, it should be fine, the controls can get better the more you use them and get used to them, me and my friends play this game lots and it's really fun, even on mobile."
122,MONOPOLY - Classic Board Game,4.3,$4.99 $2.49 Buy,Board,"December 22, 2021","I love the game. I got this on my PS4 and wanted to play it portably. They did such a good job porting it. I have enjoyed every moment that I play. I hope that they add support for playstation controllers soon because when I connected it, the layout was so weird but besides that they did great."
